sequence_id,frame_index,file,difficulty,tags,description
C06,5,C06_F05_fourth_layer2_new.ply,4,complex;layer2;new;yaw;all_move,Fourth L2 NEW has -7deg yaw; lower and upper histories continue small non-rigid motion.
C07,0,C07_F00_multi_new_start.ply,3,complex;multi_new;two_side;baseline,"Multi-birth two-side loading: two NEW coils may arrive simultaneously, both with yaw/large gaps, while all old coils move and later one history becomes occluded."
C07,1,C07_F01_two_new_far_gaps_yaw.ply,5,complex;multi_new;far_gap;yaw;all_move,"Two simultaneous NEW coils, both strongly yawed and separated from current cluster boundaries; all old coils move."
C07,2,C07_F02_second_multi_new.ply,5,complex;multi_new;partial;all_move,Two more simultaneous births while prior NEWs roll/shift and an existing coil becomes one-side partial.
C07,3,C07_F03_multi_new_then_occlusion.ply,5,complex;multi_new;occluded;all_move,No birth; both clusters continue moving and right-cluster ID8 becomes fully occluded.
C07,4,C07_F04_multi_new_occlusion_return.ply,4,complex;multi_new;occlusion_return,Occluded ID8 returns partially; cluster identities must remain stable after simultaneous births.
C08,0,C08_F00_hint_motion_start.ply,4,complex;robot_hint;large_motion;baseline,Robot-hint tolerance and large-motion stress: NEW actual positions differ substantially from approximate targets; all histories can shift close to ROI limits with Y/Z drift and yaw.
C08,1,C08_F01_imperfect_hint_large_move.ply,5,complex;robot_hint;large_motion;new;far_gap;yaw,"All old coils move 0.2-0.45m with Y/Z drift; NEW is +8deg yaw, has 0.45m gap, and robot target is ~0.4m offset."
C08,2,C08_F02_second_imperfect_hint_group_shift.ply,5,complex;robot_hint;large_motion;new;partial;yaw,Entire cluster shifts ~0.55-0.65m; second NEW has -7deg yaw and target error in the opposite direction; one old coil is partial.
C08,3,C08_F03_near_roi_group_translation.ply,5,adversarial;large_motion;nearest_neighbor_trap;all_move,"No birth; the complete cluster shifts +1.05m in one snapshot, intentionally making absolute nearest-neighbor misleading while staying inside configured motion ROI."
C08,4,C08_F04_large_motion_rebound.ply,4,complex;large_motion;rebound;all_move,Cluster rebounds after the large translation; tests absence of a strict velocity-direction assumption.
C09,0,C09_F00_visibility_complex_start.ply,3,complex;visibility;baseline,"Heavy visibility stress without removal: multiple old coils move, become side-partial or fully occluded, then recover; a yawed NEW is inserted during recovery."
C09,1,C09_F01_multi_partial_all_move.ply,4,complex;multi_partial;all_move;roll,Two historical coils are partially visible on different sides while all six objects move and roll.
C09,2,C09_F02_one_occluded_one_partial.ply,5,complex;occluded;partial;all_move,ID2 is fully occluded while ID4 is partially visible; no old coil is removed and all others continue moving.
C09,3,C09_F03_return_plus_new.ply,5,complex;occlusion_return;new;yaw;all_move,Previously occluded ID2 returns partially while a +7deg NEW is inserted with a nonzero gap; all existing coils move.
C09,4,C09_F04_visibility_recovered.ply,4,complex;recovery;all_move,All objects visible again after the visibility lifecycle; permanent IDs must be unchanged.
C10,0,C10_F00_rebound_start.ply,3,complex;rebound;baseline,"Non-monotonic settling sequence: historical coils move in X/Y, change yaw, reverse direction, then receive a far-gap NEW. This tests that tracking is not a one-direction velocity model."
C10,1,C10_F01_push_forward_xy_yaw.ply,4,complex;all_move;xy_motion;yaw,Every historical coil moves forward by a different amount with alternating Y drift and yaw.
C10,2,C10_F02_rebound_reverse.ply,4,complex;rebound;reverse_motion;roll,"The cluster reverses direction after settling; rolling observation changes remain, so a constant-velocity prior would be unsafe."
C10,3,C10_F03_rebound_then_far_new.ply,5,complex;rebound;new;far_gap;yaw;partial,"After a direction reversal, a -8deg NEW is placed with a 0.55m gap while one old coil is partially hidden."
C10,4,C10_F04_rebound_final_settle.ply,4,complex;rebound;settling,Final settling frame after reverse motion and NEW birth.
Z01,0,Z01_F00_topdown_yaw_motion_0.ply,4,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,Pure -Z top-camera sequence derived from S05: yaw + nonuniform historical motion; only top-visible surface is retained. Source=S05_F00_yaw_motion_0.ply. Only -Z top-visible points.
Z01,1,Z01_F01_topdown_yaw_motion_1.ply,4,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,Pure -Z top-camera sequence derived from S05: yaw + nonuniform historical motion; only top-visible surface is retained. Source=S05_F01_yaw_motion_1.ply. Only -Z top-visible points.
Z01,2,Z01_F02_topdown_yaw_motion_2.ply,4,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,Pure -Z top-camera sequence derived from S05: yaw + nonuniform historical motion; only top-visible surface is retained. Source=S05_F02_yaw_motion_2.ply. Only -Z top-visible points.
Z01,3,Z01_F03_topdown_yaw_motion_3.ply,4,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,Pure -Z top-camera sequence derived from S05: yaw + nonuniform historical motion; only top-visible surface is retained. Source=S05_F03_yaw_motion_3.ply. Only -Z top-visible points.
Z02,0,Z02_F00_topdown_two_side_complex_start.ply,4,topdown_z;z_projection_only;complex;two_side;baseline;difficulty_2,"Pure -Z top-camera two-edge-cluster sequence with NEW, gaps, motion and positive partial occlusion. Source=C03_F00_two_side_complex_start.ply. Only -Z top-visible points."
Z02,1,Z02_F01_topdown_left_new_far_gap.ply,4,topdown_z;z_projection_only;complex;two_side;new;far_gap;yaw;all_move;difficulty_3,"Pure -Z top-camera two-edge-cluster sequence with NEW, gaps, motion and positive partial occlusion. Source=C03_F01_left_new_far_gap.ply. Only -Z top-visible points."
Z02,2,Z02_F02_topdown_right_new_partial_left.ply,4,topdown_z;z_projection_only;complex;two_side;new;partial;yaw;all_move;difficulty_4,"Pure -Z top-camera two-edge-cluster sequence with NEW, gaps, motion and positive partial occlusion. Source=C03_F02_right_new_partial_left.ply. Only -Z top-visible points."
Z02,3,Z02_F03_topdown_two_new_both_sides.ply,4,topdown_z;z_projection_only;complex;two_side;multi_new;yaw;all_move;gaps;difficulty_4,"Pure -Z top-camera two-edge-cluster sequence with NEW, gaps, motion and positive partial occlusion. Source=C03_F03_two_new_both_sides.ply. Only -Z top-visible points."
Z02,4,Z02_F04_topdown_two_side_with_occluded.ply,4,topdown_z;z_projection_only;complex;two_side;occluded;all_move;difficulty_4,"Pure -Z top-camera two-edge-cluster sequence with NEW, gaps, motion and positive partial occlusion. Source=C03_F04_two_side_with_occluded.ply. Only -Z top-visible points."
Z02,5,Z02_F05_topdown_occluded_return_partial.ply,4,topdown_z;z_projection_only;complex;two_side;occlusion_return;middle_free;difficulty_3,"Pure -Z top-camera two-edge-cluster sequence with NEW, gaps, motion and positive partial occlusion. Source=C03_F05_occluded_return_partial.ply. Only -Z top-visible points."
Z03,0,Z03_F00_topdown_full_l1_start.ply,4,topdown_z;z_projection_only;complex;layer2;full_l1;baseline;difficulty_3,Pure -Z top-camera full L1 to L2 loading sequence; global z-buffer makes upper coils physically occlude lower projected surfaces. Source=C06_F00_full_l1_start.ply. Only -Z top-visible points.
Z03,1,Z03_F01_topdown_layer2_new_yaw.ply,4,topdown_z;z_projection_only;complex;layer2;new;yaw;lower_partial;all_move;difficulty_4,Pure -Z top-camera full L1 to L2 loading sequence; global z-buffer makes upper coils physically occlude lower projected surfaces. Source=C06_F01_layer2_new_yaw.ply. Only -Z top-visible points.
Z03,2,Z03_F02_topdown_second_layer2_new.ply,4,topdown_z;z_projection_only;complex;layer2;new;yaw;lower_partial;all_move;difficulty_4,Pure -Z top-camera full L1 to L2 loading sequence; global z-buffer makes upper coils physically occlude lower projected surfaces. Source=C06_F02_second_layer2_new.ply. Only -Z top-visible points.
Z03,3,Z03_F03_topdown_layer2_new_lower_occluded.ply,4,topdown_z;z_projection_only;complex;layer2;new;occluded;all_move;difficulty_5,Pure -Z top-camera full L1 to L2 loading sequence; global z-buffer makes upper coils physically occlude lower projected surfaces. Source=C06_F03_layer2_new_lower_occluded.ply. Only -Z top-visible points.
Z03,4,Z03_F04_topdown_layer2_motion_lower_return.ply,4,topdown_z;z_projection_only;complex;layer2;occlusion_return;all_move;yaw;difficulty_4,Pure -Z top-camera full L1 to L2 loading sequence; global z-buffer makes upper coils physically occlude lower projected surfaces. Source=C06_F04_layer2_motion_lower_return.ply. Only -Z top-visible points.
Z03,5,Z03_F05_topdown_fourth_layer2_new.ply,4,topdown_z;z_projection_only;complex;layer2;new;yaw;all_move;difficulty_4,Pure -Z top-camera full L1 to L2 loading sequence; global z-buffer makes upper coils physically occlude lower projected surfaces. Source=C06_F05_fourth_layer2_new.ply. Only -Z top-visible points.
Z04,0,Z04_F00_topdown_same_geom_start.ply,4,topdown_z;z_projection_only;adversarial;same_geometry;baseline;difficulty_4,"Pure -Z top-camera adversarial same-geometry / nearest-neighbor trap sequence; identity must come from semantics, not full-cylinder geometry. Source=C04_F00_same_geom_start.ply. Only -Z top-visible points."
Z04,1,Z04_F01_topdown_nearest_neighbor_trap.ply,4,topdown_z;z_projection_only;adversarial;same_geometry;nearest_neighbor_trap;all_move;difficulty_5,"Pure -Z top-camera adversarial same-geometry / nearest-neighbor trap sequence; identity must come from semantics, not full-cylinder geometry. Source=C04_F01_nearest_neighbor_trap.ply. Only -Z top-visible points."
Z04,2,Z04_F02_topdown_same_spec_new_after_shift.ply,4,topdown_z;z_projection_only;adversarial;same_geometry;new;all_move;yaw;difficulty_5,"Pure -Z top-camera adversarial same-geometry / nearest-neighbor trap sequence; identity must come from semantics, not full-cylinder geometry. Source=C04_F02_same_spec_new_after_shift.ply. Only -Z top-visible points."
Z04,3,Z04_F03_topdown_same_geom_partial_center.ply,4,topdown_z;z_projection_only;adversarial;same_geometry;partial;all_move;difficulty_5,"Pure -Z top-camera adversarial same-geometry / nearest-neighbor trap sequence; identity must come from semantics, not full-cylinder geometry. Source=C04_F03_same_geom_partial_center.ply. Only -Z top-visible points."
Z04,4,Z04_F04_topdown_same_geom_occluded.ply,4,topdown_z;z_projection_only;adversarial;same_geometry;occluded;difficulty_5,"Pure -Z top-camera adversarial same-geometry / nearest-neighbor trap sequence; identity must come from semantics, not full-cylinder geometry. Source=C04_F04_same_geom_occluded.ply. Only -Z top-visible points."
Z05,0,Z05_F00_multiview_yaw_motion_0.ply,3,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,"View-switch sequence: multi-view -> top-only -Z -> top-only -Z -> multi-view, testing persistent identity across acquisition-mode changes. Source=S05_F00_yaw_motion_0.ply. Multi-view transition frame."
Z05,1,Z05_F01_topdown_yaw_motion_1.ply,4,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,"View-switch sequence: multi-view -> top-only -Z -> top-only -Z -> multi-view, testing persistent identity across acquisition-mode changes. Source=S05_F01_yaw_motion_1.ply. Only -Z top-visible points."
Z05,2,Z05_F02_topdown_yaw_motion_2.ply,4,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,"View-switch sequence: multi-view -> top-only -Z -> top-only -Z -> multi-view, testing persistent identity across acquisition-mode changes. Source=S05_F02_yaw_motion_2.ply. Only -Z top-visible points."
Z05,3,Z05_F03_multiview_yaw_motion_3.ply,3,topdown_z;z_projection_only;yaw;movement;roll_observation;L1,"View-switch sequence: multi-view -> top-only -Z -> top-only -Z -> multi-view, testing persistent identity across acquisition-mode changes. Source=S05_F03_yaw_motion_3.ply. Multi-view transition frame."
D01,0,D01_F00_full_l1_before_l2.ply,4,double_layer;full_l1;support_topology;multi_view,Full L1 -> start L2 from left. L1 freezes; upper identity is support pair.
D01,1,D01_F01_l2_new_support0.ply,4,double_layer;full_l1;support_topology;multi_view,Full L1 -> start L2 from left. L1 freezes; upper identity is support pair.
D01,2,D01_F02_l2_new_support1.ply,4,double_layer;full_l1;support_topology;multi_view,Full L1 -> start L2 from left. L1 freezes; upper identity is support pair.
D01,3,D01_F03_upper_settle_l1_locked.ply,4,double_layer;full_l1;support_topology;multi_view,Full L1 -> start L2 from left. L1 freezes; upper identity is support pair.
D02,0,D02_F00_full_l1_before_right_l2.ply,4,double_layer;full_l1;support_topology;multi_view,"Full L1 -> L2 grows from right; verifies upper slot is support valley, not append index."
D02,1,D02_F01_right_new_support8.ply,4,double_layer;full_l1;support_topology;multi_view,"Full L1 -> L2 grows from right; verifies upper slot is support valley, not append index."
D02,2,D02_F02_right_new_support7.ply,4,double_layer;full_l1;support_topology;multi_view,"Full L1 -> L2 grows from right; verifies upper slot is support valley, not append index."
D02,3,D02_F03_right_new_support6.ply,4,double_layer;full_l1;support_topology;multi_view,"Full L1 -> L2 grows from right; verifies upper slot is support valley, not append index."
D03,0,D03_F00_full_l1.ply,4,double_layer;full_l1;support_topology;multi_view,Alternating non-contiguous upper support slots with multi-NEW. Discrete support topology dominates.
D03,1,D03_F01_new_support1.ply,4,double_layer;full_l1;support_topology;multi_view,Alternating non-contiguous upper support slots with multi-NEW. Discrete support topology dominates.
D03,2,D03_F02_new_support7.ply,4,double_layer;full_l1;support_topology;multi_view,Alternating non-contiguous upper support slots with multi-NEW. Discrete support topology dominates.
D03,3,D03_F03_multi_new_support3_5.ply,4,double_layer;full_l1;support_topology;multi_view,Alternating non-contiguous upper support slots with multi-NEW. Discrete support topology dominates.
D04,0,D04_F00_full_l1_multiview.ply,4,double_layer;full_l1;support_topology;multi_view,L2 loading under pure TOP_DOWN_Z. Upper coils physically clip lower top surfaces while every physical coil remains positively observed.
D04,1,D04_F01_top_new_support2.ply,4,double_layer;full_l1;support_topology;top_down_z,L2 loading under pure TOP_DOWN_Z. Upper coils physically clip lower top surfaces while every physical coil remains positively observed.
D04,2,D04_F02_top_new_support3.ply,4,double_layer;full_l1;support_topology;top_down_z,L2 loading under pure TOP_DOWN_Z. Upper coils physically clip lower top surfaces while every physical coil remains positively observed.
D04,3,D04_F03_top_upper_motion.ply,4,double_layer;full_l1;support_topology;top_down_z,L2 loading under pure TOP_DOWN_Z. Upper coils physically clip lower top surfaces while every physical coil remains positively observed.
D05,0,D05_F00_bootstrap_double_layer.ply,4,double_layer;full_l1;support_topology;multi_view,Initial frame is already double-layer (multi-view). Bootstrap must infer 10-slot foundation and support-valley upper IDs without history.
D05,1,D05_F01_bootstrap_then_new_support7.ply,4,double_layer;full_l1;support_topology;multi_view,Initial frame is already double-layer (multi-view). Bootstrap must infer 10-slot foundation and support-valley upper IDs without history.
D05,2,D05_F02_bootstrap_followup.ply,4,double_layer;full_l1;support_topology;multi_view,Initial frame is already double-layer (multi-view). Bootstrap must infer 10-slot foundation and support-valley upper IDs without history.
D06,0,D06_F00_bootstrap_topdown_heavy.ply,5,double_layer;full_l1;support_topology;top_down_z,Hard bootstrap: initial frame already double-layer and TOP_DOWN_Z with seven upper coils; many foundation coils retain only narrow positive top strips.
D06,1,D06_F01_topdown_add_eighth.ply,5,double_layer;full_l1;support_topology;top_down_z,Hard bootstrap: initial frame already double-layer and TOP_DOWN_Z with seven upper coils; many foundation coils retain only narrow positive top strips.
D06,2,D06_F02_topdown_all_eight_settle.ply,5,double_layer;full_l1;support_topology;top_down_z,Hard bootstrap: initial frame already double-layer and TOP_DOWN_Z with seven upper coils; many foundation coils retain only narrow positive top strips.
D07,0,D07_F00_support_identity_start.ply,4,double_layer;full_l1;support_topology;multi_view,Support topology identity stress: upper coils move/yaw within their valleys; L1 remains a locked reference lattice.
D07,1,D07_F01_support_offsets.ply,4,double_layer;full_l1;support_topology;multi_view,Support topology identity stress: upper coils move/yaw within their valleys; L1 remains a locked reference lattice.
D07,2,D07_F02_support_offsets_rebound.ply,4,double_layer;full_l1;support_topology;multi_view,Support topology identity stress: upper coils move/yaw within their valleys; L1 remains a locked reference lattice.
D08,0,D08_F00_locked_foundation_start.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,"Collapse-risk diagnostic: once L2 is active, a first-layer foundation coil shifts beyond the hard lock. Must surface ABNORMAL, never silently relearn foundation."
D08,1,D08_F01_foundation_hard_shift.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,"Collapse-risk diagnostic: once L2 is active, a first-layer foundation coil shifts beyond the hard lock. Must surface ABNORMAL, never silently relearn foundation."
D08,2,D08_F02_foundation_returns.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,"Collapse-risk diagnostic: once L2 is active, a first-layer foundation coil shifts beyond the hard lock. Must surface ABNORMAL, never silently relearn foundation."
D09,0,D09_F00_upper_support_start.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,Upper off-support abnormality: historical upper coil leaves its support valley. Must report support topology abnormality instead of hopping ID to adjacent valley.
D09,1,D09_F01_upper_off_support.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,Upper off-support abnormality: historical upper coil leaves its support valley. Must report support topology abnormality instead of hopping ID to adjacent valley.
D09,2,D09_F02_upper_back_on_support.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,Upper off-support abnormality: historical upper coil leaves its support valley. Must report support topology abnormality instead of hopping ID to adjacent valley.
D10,0,D10_F00_full_l1.ply,5,double_layer;full_l1;support_topology;multi_view,"L2 capacity lifecycle: grow to realistic maximum 8, then intentionally request a ninth upper coil to verify capacity abnormality."
D10,1,D10_F01_multi_new_0_7.ply,5,double_layer;full_l1;support_topology;multi_view,"L2 capacity lifecycle: grow to realistic maximum 8, then intentionally request a ninth upper coil to verify capacity abnormality."
D10,2,D10_F02_multi_new_1_6.ply,5,double_layer;full_l1;support_topology;multi_view,"L2 capacity lifecycle: grow to realistic maximum 8, then intentionally request a ninth upper coil to verify capacity abnormality."
D10,3,D10_F03_multi_new_2_5.ply,5,double_layer;full_l1;support_topology;multi_view,"L2 capacity lifecycle: grow to realistic maximum 8, then intentionally request a ninth upper coil to verify capacity abnormality."
D10,4,D10_F04_multi_new_3_4_reach8.ply,5,double_layer;full_l1;support_topology;multi_view,"L2 capacity lifecycle: grow to realistic maximum 8, then intentionally request a ninth upper coil to verify capacity abnormality."
D10,5,D10_F05_illegal_ninth_support8.ply,5,double_layer;full_l1;support_topology;multi_view;abnormal,"L2 capacity lifecycle: grow to realistic maximum 8, then intentionally request a ninth upper coil to verify capacity abnormality."
